n_participant,duration,age>65,male,ethnicity_white,use_technology,medication,follow_up_considered,use_wearables,use_mobile_app,interviews_needed,questionare_completed,feedback_provided,prioir_treatment_history_considered,co_mobidities_considered,treatment_type,biosamples_collected,randomised,mutli_site,adverse_event_considered,support_sessions,retention_rate
37485.0,47.0,0.3606521457174703,0.4680752821011313,0.813318311984858,yes,Testosterone,yes,yes,yes,yes,yes,yes,yes,yes,behavioural,yes,yes,yes,yes,yes,0.6704303973963112
95074.0,67.0,0.2746532970985166,0.3869485714242537,0.7809003263447823,no,5ARI,no,no,no,no,no,no,no,no,observational,no,no,no,no,no,0.613047616724915
73213.0,56.0,0.41060744638383206,0.49677124320481864,0.7780050280344039,no,citalopram,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.658918994760119
59886.0,52.0,0.19440966123325384,0.2868420998554312,0.6610316057529774,no,Antidepressant,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.4901434577841826
15644.0,40.0,0.5198448556236329,0.651132487685791,0.9520715241352083,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.8520084369100743
15642.0,40.0,0.15053394487893804,0.24114833038763822,0.6423562958493233,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.45430248943167445
5855.0,34.0,0.48941120236497326,0.584868586627738,0.864897184849803,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.7531756346464147
86624.0,61.0,0.21209706494934782,0.3142685136514945,0.7132566520130064,no,venlafaxine,no,no,no,no,no,no,no,no,observational,no,no,no,no,no,0.5349603948656269
60131.0,53.0,0.23262825944784093,0.34490254585872615,0.7627956147458171,no,citalopram,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.5812943491748087
70822.0,55.0,0.3812820851939994,0.5096277019622844,0.8821176461413918,no,citalopram,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.738873320733482
2107.0,30.0,0.5159625122782617,0.6291504168088582,0.9212604147942443,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.8144398900873926
96992.0,69.0,0.1256149801053899,0.21320734525581286,0.627866379384937,no,5ARI,no,no,no,no,no,no,no,no,observational,no,no,no,no,no,0.4296963773712838
83253.0,60.0,0.3633796816163473,0.46414795848925633,0.7934627779812646,no,venlafaxine,no,no,no,no,no,no,no,no,observational,no,no,no,no,no,0.6552817991089339
21273.0,42.0,0.29545913455484196,0.40924272201294537,0.7965071093947098,yes,Testosterone,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.6336379456957869
18223.0,41.0,0.16849645189392548,0.2497012621985188,0.5927124090824571,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.43254832728713255
18381.0,41.0,0.36097321559204526,0.47392846426449026,0.8304274859560355,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.6849516427498634
30459.0,45.0,0.16932533717046014,0.257692795509982,0.6324901195467705,yes,Testosterone,yes,yes,yes,yes,yes,yes,yes,yes,behavioural,yes,yes,yes,yes,yes,0.4583493516459794
52499.0,51.0,0.33539019648844814,0.4236417851399353,0.7280021006456135,no,Antidepressant,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.5960787208688533
43223.0,48.0,0.20460051316831232,0.3151153112891404,0.7470489414115642,yes,Antidepressant,yes,yes,yes,yes,yes,yes,yes,yes,behavioural,yes,yes,yes,yes,yes,0.5563275303066202
29158.0,45.0,0.2400686071497353,0.35032963526632344,0.7577814892310184,yes,Testosterone,yes,yes,yes,yes,yes,yes,yes,yes,behavioural,yes,yes,yes,yes,yes,0.5806669602856716
61205.0,53.0,0.2809089415528042,0.36352977685126675,0.6641575420900631,no,citalopram,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.5306428137663789
13992.0,39.0,0.39132341180675234,0.5079668183136175,0.8584136077308363,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.7192777155164612
29250.0,45.0,0.18388310791372192,0.2595305577440691,0.5678133780337027,yes,Testosterone,yes,yes,yes,yes,yes,yes,yes,yes,behavioural,yes,yes,yes,yes,yes,0.4249678378899742
36668.0,47.0,0.3218344557441093,0.4348999883732838,0.8082891559146839,yes,Testosterone,yes,yes,yes,yes,yes,yes,yes,yes,behavioural,yes,yes,yes,yes,yes,0.6529487617195584
45634.0,49.0,0.23341338595148067,0.3321058533999496,0.7067707384276432,yes,Antidepressant,yes,yes,yes,yes,yes,yes,yes,yes,behavioural,yes,yes,yes,yes,yes,0.5400787304939417
78528.0,58.0,0.22158202363305485,0.33808930741379833,0.7755266133708225,no,citalopram,no,no,no,no,no,no,no,no,observational,no,no,no,no,no,0.5863900825564616
20007.0,42.0,0.3712016683361977,0.46835348982654035,0.7866167138039882,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.6525322175928046
51448.0,50.0,0.22953990480492575,0.3172092292451748,0.6541497031976442,no,Antidepressant,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.5020886939832349
59262.0,52.0,0.2225878320300808,0.3350428060996771,0.7600803054764329,no,Antidepressant,no,no,no,no,no,no,no,no,rTMS,no,no,no,no,no,0.5747026517087017
4693.0,33.0,0.3016055843239892,0.4031790286921556,0.7563122196752027,yes,Escitalopram,yes,yes,yes,yes,yes,yes,yes,yes,medication,yes,yes,yes,yes,yes,0.6044110558191427
